Date,Block Height,net_sha3 (TH/s),net_rxt (GH/s),net_rxm (GH/s),net_c29 (Kg/s)
2025-07-11 12:00:35,47670,142.0,0.75,3.41,
2025-07-11 15:00:07,47774,143.0,0.85,3.31,
2025-07-11 18:00:50,47857,126.0,0.8,4.01,
2025-07-11 21:00:10,47933,123.0,0.73,4.29,
2025-07-12 00:00:22,48025,115.0,0.85,3.35,
2025-07-12 03:00:35,48108,128.0,0.76,3.32,
2025-07-12 06:00:00,48198,123.0,0.7,3.37,
2025-07-12 09:00:58,48288,153.0,0.72,3.53,
2025-07-12 12:00:11,48368,143.0,0.63,3.26,
2025-07-12 15:00:23,48469,137.0,0.72,3.42,
2025-07-12 18:00:36,48561,136.0,0.7,4.25,
2025-07-12 21:00:07,48641,135.0,0.73,3.89,
2025-07-13 00:00:01,48736,127.0,0.69,4.27,
2025-07-13 03:00:14,48825,141.0,0.7,3.67,
2025-07-13 06:00:27,48909,155.0,0.69,3.62,
2025-07-13 09:00:41,48991,124.0,0.7,3.53,
2025-07-13 12:00:54,49083,130.0,0.67,3.11,
2025-07-13 15:00:07,49162,119.0,0.68,3.33,
2025-07-13 18:00:20,49265,136.0,0.65,3.46,
2025-07-13 21:00:32,49355,133.0,0.67,3.87,
2025-07-14 00:00:37,49440,112.0,0.68,3.92,
2025-07-14 03:00:00,49535,114.0,0.72,3.85,
2025-07-14 06:00:12,49608,109.0,0.7,3.24,
2025-07-14 09:00:25,49692,107.0,0.63,3.48,
2025-07-14 12:00:38,49779,111.0,0.59,3.23,
2025-07-14 15:00:14,49876,107.0,0.63,3.15,
2025-07-14 18:00:05,49967,126.0,0.62,3.23,
2025-07-14 21:00:19,50070,121.0,0.64,4.01,
2025-07-15 00:00:35,50153,113.0,0.67,3.8,
2025-07-15 03:00:49,50254,124.0,0.68,3.86,
2025-07-15 06:00:04,50341,134.0,0.68,3.98,
2025-07-15 09:00:17,50430,126.0,0.7,4.11,
2025-07-15 12:00:29,50520,110.0,0.68,4.72,
2025-07-15 15:00:24,50614,117.0,0.65,5.05,
2025-07-15 18:00:56,50692,120.0,0.69,4.12,
2025-07-15 21:00:10,50762,111.0,0.56,3.93,
2025-07-16 00:00:25,50860,119.0,0.6,3.55,
2025-07-16 03:00:39,50950,111.0,0.62,3.95,
2025-07-16 06:00:15,51044,113.0,0.65,3.83,
2025-07-16 09:00:07,51138,114.0,0.63,4.38,
2025-07-16 12:00:20,51230,131.0,0.66,3.7,
2025-07-16 15:00:35,51315,140.0,0.62,3.42,
2025-07-16 18:00:48,51417,142.0,0.68,3.96,
2025-07-16 21:00:03,51507,122.0,0.7,4.77,
2025-07-17 00:00:04,51603,136.0,0.66,4.78,
2025-07-17 03:00:35,51693,175.0,0.64,4.78,
2025-07-17 06:00:49,51778,169.0,0.75,4.59,
2025-07-17 09:00:05,51855,151.0,0.63,3.83,
2025-07-17 12:00:10,51933,135.0,0.61,3.37,
2025-07-17 15:00:15,52029,139.0,0.71,3.44,
2025-07-17 18:00:28,52106,126.0,0.63,3.23,
2025-07-17 21:00:02,52209,118.0,0.67,4.57,
2025-07-18 00:00:05,52297,123.0,0.66,4.77,
2025-07-18 03:00:33,52387,146.0,0.65,4.16,
2025-07-18 06:00:49,52476,146.0,0.66,4.33,
2025-07-18 09:00:04,52560,144.0,0.61,4.34,
2025-07-18 12:00:19,52650,133.0,0.67,3.77,
2025-07-18 15:00:13,52721,124.0,0.67,3.35,
2025-07-18 18:00:47,52812,124.0,0.62,3.2,
2025-07-18 21:00:03,52905,139.0,0.57,2.98,
2025-07-19 00:00:06,52997,153.0,0.55,3.41,
2025-07-19 03:00:32,53093,147.0,0.62,3.49,
2025-07-19 06:00:47,53177,138.0,0.63,3.49,
2025-07-19 09:00:02,53257,125.0,0.66,3.21,
2025-07-19 12:00:17,53342,130.0,0.66,3.14,
2025-07-19 15:00:33,53414,112.0,0.57,3.14,
2025-07-19 18:00:48,53519,112.0,0.55,3.59,
2025-07-19 21:00:04,53612,107.0,0.58,3.49,
2025-07-20 00:00:21,53693,105.0,0.53,3.82,
2025-07-20 03:00:24,53794,135.0,0.6,3.64,
2025-07-20 06:00:26,53885,124.0,0.58,3.89,
2025-07-20 09:00:07,53973,114.0,0.59,3.93,
2025-07-20 12:00:23,54066,132.0,0.58,3.87,
2025-07-20 15:00:39,54163,120.0,0.62,4.3,
2025-07-20 18:00:55,54251,127.0,0.64,4.35,
2025-07-20 21:00:10,54345,129.0,0.73,4.19,
2025-07-21 00:00:04,54418,128.0,0.72,3.6,
2025-07-21 03:00:27,54503,120.0,0.64,3.32,
2025-07-21 06:00:59,54588,127.0,0.61,3.72,
2025-07-21 09:00:14,54682,114.0,0.59,3.68,
2025-07-21 12:00:30,54769,125.0,0.57,4.0,
2025-07-21 15:00:00,54858,112.0,0.59,3.57,
2025-07-21 18:00:02,54947,127.0,0.56,3.74,
2025-07-21 21:00:04,55035,117.0,0.53,3.8,
2025-07-22 00:00:04,55136,113.0,0.66,4.08,
2025-07-22 03:00:08,55215,114.0,0.62,3.64,
2025-07-22 06:00:09,55297,111.0,0.57,3.55,
2025-07-22 09:00:12,55403,137.0,0.68,3.32,
2025-07-22 12:00:14,55489,135.0,0.64,3.49,
2025-07-22 15:00:05,55572,126.0,0.56,3.75,
2025-07-22 18:00:18,55664,130.0,0.56,3.45,
2025-07-22 21:00:20,55745,122.0,0.6,3.28,
2025-07-23 00:00:00,55848,140.0,0.61,3.52,
2025-07-23 03:00:22,55930,122.0,0.6,3.41,
2025-07-23 06:00:27,56020,126.0,0.55,3.61,
2025-07-23 09:00:01,56119,134.0,0.57,3.91,
2025-07-23 12:00:07,56200,146.0,0.66,3.32,
2025-07-23 15:00:33,56287,129.0,0.54,3.48,
2025-07-23 18:00:35,56379,136.0,0.55,3.66,
2025-07-23 21:00:04,56478,124.0,0.59,4.21,
2025-07-24 00:00:16,56545,109.0,0.58,3.79,
2025-07-24 03:00:19,56627,101.0,0.54,3.6,
2025-07-24 06:00:21,56724,96.6,0.53,3.93,
2025-07-24 09:00:23,56814,113.0,0.59,3.6,
2025-07-24 12:00:04,56894,114.0,0.54,3.21,
2025-07-24 15:00:16,56988,141.0,0.52,3.11,
2025-07-24 18:00:29,57061,137.0,0.49,2.89,
2025-07-24 21:00:41,57150,120.0,0.49,2.78,
2025-07-25 00:00:54,57246,114.0,0.51,3.03,
2025-07-25 03:00:07,57334,109.0,0.57,2.99,
2025-07-25 06:00:06,57440,114.0,0.53,4.05,
2025-07-25 09:00:14,57531,111.0,0.5,4.17,
2025-07-25 12:00:44,57624,123.0,0.56,4.08,
2025-07-25 15:00:56,57701,127.0,0.51,3.88,
2025-07-25 18:00:09,57796,125.0,0.54,3.38,
2025-07-25 21:00:21,57878,120.0,0.61,3.15,
2025-07-26 00:00:34,57972,104.0,0.56,3.67,
2025-07-26 03:00:47,58052,102.0,0.55,3.46,
2025-07-26 06:01:00,58145,127.0,0.51,3.39,
2025-07-26 09:00:13,58238,114.0,0.54,3.82,
2025-07-26 12:00:26,58331,114.0,0.5,3.89,
2025-07-26 15:00:02,58422,118.0,0.52,3.71,
2025-07-26 18:00:51,58513,130.0,0.48,4.18,
2025-07-26 21:00:04,58616,153.0,0.54,3.98,
2025-07-27 00:00:18,58703,130.0,0.53,4.6,
2025-07-27 03:00:32,58786,136.0,0.52,4.71,
2025-07-27 06:00:47,58874,124.0,0.52,4.38,
2025-07-27 09:01:00,58963,114.0,0.53,4.47,
2025-07-27 12:00:13,59047,97.6,0.55,4.85,
2025-07-27 15:00:17,59128,90.8,0.57,4.21,
2025-07-27 18:00:39,59211,90.9,0.52,4.08,
2025-07-27 21:00:53,59306,91.5,0.55,3.77,
2025-07-28 00:00:07,59407,105.0,0.6,3.82,
2025-07-28 03:00:21,59496,119.0,0.56,4.07,
2025-07-28 06:00:35,59590,132.0,0.7,3.8,
2025-07-28 09:00:04,59667,125.0,0.62,3.52,
2025-07-28 12:00:02,59755,120.0,0.57,3.43,
2025-07-28 15:00:16,59851,131.0,0.58,3.63,
2025-07-28 18:00:10,59949,135.0,0.58,4.22,
2025-07-28 21:00:45,60026,113.0,0.62,3.83,
2025-07-29 00:00:00,60123,116.0,0.63,3.98,
2025-07-29 03:00:14,60209,110.0,0.6,3.89,
2025-07-29 06:00:28,60291,113.0,0.57,3.59,
2025-07-29 09:00:31,60383,123.0,0.57,3.47,
2025-07-29 12:00:08,60479,129.0,0.58,3.87,
2025-07-29 15:00:08,60567,122.0,0.56,3.61,
2025-07-29 18:00:20,60648,114.0,0.64,3.72,
2025-07-29 21:00:31,60734,121.0,0.62,3.65,
2025-07-30 00:00:48,60819,107.0,0.59,3.54,
2025-07-30 03:00:04,60916,104.0,0.59,4.0,
2025-07-30 06:00:19,61013,116.0,0.55,4.2,
2025-07-30 09:00:33,61106,108.0,0.64,4.14,
2025-07-30 12:00:12,61194,114.0,0.61,4.31,
2025-07-30 15:00:01,61288,124.0,0.56,4.38,
2025-07-30 18:00:02,61361,113.0,0.47,4.52,
2025-07-30 21:00:28,61449,100.0,0.54,3.87,
2025-07-31 00:00:41,61541,112.0,0.56,3.65,
2025-07-31 03:00:12,61627,107.0,0.52,4.16,
2025-07-31 06:00:11,61726,111.0,0.55,4.01,
2025-07-31 09:00:01,61807,109.0,0.53,3.85,
2025-07-31 12:00:40,61895,120.0,0.52,3.5,
2025-07-31 15:00:45,61992,126.0,0.5,3.95,
2025-07-31 18:00:10,62077,130.0,0.44,4.09,
2025-07-31 21:00:25,62179,140.0,0.47,3.99,
2025-08-01 00:00:41,62269,128.0,0.57,4.96,
2025-08-01 03:00:30,62349,119.0,0.49,4.33,
2025-08-01 06:00:14,62432,125.0,0.5,3.85,
2025-08-01 09:00:30,62525,122.0,0.5,3.71,
2025-08-01 12:00:46,62600,122.0,0.49,3.51,
2025-08-01 15:00:02,62689,109.0,0.49,3.27,
2025-08-01 18:00:17,62775,101.0,0.51,3.64,
2025-08-01 21:00:12,62873,109.0,0.41,4.11,
2025-08-02 00:00:49,62962,109.0,0.48,4.34,
2025-08-02 03:00:07,63046,106.0,0.41,4.05,
2025-08-02 06:00:23,63136,124.0,0.35,3.9,
2025-08-02 09:00:13,63232,137.0,0.38,3.99,
2025-08-02 12:00:56,63314,133.0,0.37,3.62,
2025-08-02 15:00:12,63408,120.0,0.48,4.14,
2025-08-02 18:00:29,63499,123.0,0.43,3.91,
2025-08-02 21:00:32,63582,125.0,0.34,4.12,
2025-08-03 00:00:03,63685,124.0,0.39,4.62,
2025-08-03 03:00:20,63775,133.0,0.41,4.4,
2025-08-03 06:00:07,63860,121.0,0.44,4.99,
2025-08-03 09:00:54,63942,105.0,0.4,4.5,
2025-08-03 12:00:10,64026,107.0,0.42,4.18,
2025-08-03 15:00:28,64123,130.0,0.39,3.9,
2025-08-03 18:00:45,64208,126.0,0.39,4.04,
2025-08-03 21:00:02,64299,122.0,0.38,4.01,
2025-08-04 00:00:19,64387,133.0,0.4,3.95,
2025-08-04 03:00:12,64464,122.0,0.37,3.7,
2025-08-04 06:00:55,64559,122.0,0.37,3.76,
2025-08-04 09:00:02,64641,111.0,0.35,3.56,
2025-08-04 12:00:27,64720,97.8,0.4,3.05,
2025-08-04 15:00:43,64829,94.7,0.49,3.44,
2025-08-04 18:01:00,64928,113.0,0.45,4.22,
2025-08-04 21:00:03,65010,112.0,0.45,4.45,
2025-08-05 00:00:33,65110,127.0,0.49,3.86,
2025-08-05 03:00:51,65201,108.0,0.49,4.04,
2025-08-05 06:00:09,65273,117.0,0.48,3.53,
2025-08-05 09:00:25,65361,99.7,0.44,4.08,
2025-08-05 12:00:18,65460,148.0,0.37,3.98,
2025-08-05 15:00:07,65546,145.0,0.41,3.73,
2025-08-05 18:00:24,65632,110.0,0.4,3.95,
2025-08-05 21:00:42,65712,105.0,0.39,3.89,
2025-08-06 00:00:00,65800,106.0,0.38,3.6,
2025-08-06 03:00:19,65902,105.0,0.43,3.75,
2025-08-06 06:00:37,65982,105.0,0.51,3.95,
2025-08-06 09:00:28,66069,106.0,0.45,3.2,
2025-08-06 12:00:13,66150,111.0,0.43,3.04,
2025-08-06 15:00:31,66246,110.0,0.45,2.97,
2025-08-06 18:00:50,66324,101.0,0.38,3.09,
2025-08-06 21:00:15,66419,100.0,0.43,3.75,
2025-08-07 00:00:33,66520,108.0,0.4,3.96,
2025-08-07 03:00:53,66604,106.0,0.43,3.82,
2025-08-07 06:00:12,66694,104.0,0.39,4.23,
2025-08-07 09:00:15,66786,103.0,0.38,4.36,
2025-08-07 12:00:09,66869,113.0,0.36,4.2,
2025-08-07 15:00:08,66949,122.0,0.36,3.84,
2025-08-07 18:00:26,67049,92.0,0.39,4.57,
2025-08-07 21:00:45,67135,101.0,0.39,3.73,
2025-08-08 00:00:04,67240,106.0,0.45,4.35,
2025-08-08 03:00:23,67325,96.8,0.44,4.99,
2025-08-08 06:00:41,67419,117.0,0.42,4.55,
2025-08-08 09:01:00,67512,125.0,0.42,4.89,
2025-08-08 12:00:18,67588,115.0,0.37,5.41,
2025-08-08 15:00:37,67666,111.0,0.34,4.48,
2025-08-08 18:00:56,67752,124.0,0.36,3.54,
2025-08-08 21:00:15,67852,118.0,0.39,3.41,
2025-08-09 00:00:34,67953,110.0,0.64,3.46,
2025-08-09 03:00:54,68029,94.7,0.63,3.49,
2025-08-09 06:00:14,68127,89.2,0.61,3.95,
2025-08-09 09:00:34,68209,88.3,0.65,3.93,
2025-08-09 12:00:54,68287,93.6,0.56,3.89,
2025-08-09 15:00:13,68379,95.9,0.43,4.13,
2025-08-09 18:00:31,68456,88.0,0.4,4.16,
2025-08-09 21:00:51,68545,86.7,0.36,4.75,
2025-08-10 00:00:10,68642,80.9,0.37,5.54,
2025-08-10 03:00:31,68728,90.5,0.4,5.04,
2025-08-10 06:00:50,68814,82.4,0.4,5.16,
2025-08-10 09:00:10,68913,103.0,0.43,4.46,
2025-08-10 12:00:29,69009,111.0,0.45,4.65,
2025-08-10 15:00:43,69087,116.0,0.43,4.1,
2025-08-10 18:00:55,69169,116.0,0.49,3.7,
2025-08-10 21:00:07,69256,100.0,0.43,3.62,
2025-08-11 00:00:20,69341,105.0,0.45,3.4,
2025-08-11 03:00:32,69443,103.0,0.52,3.91,
2025-08-11 06:00:45,69532,98.7,0.46,4.06,
2025-08-11 09:00:57,69610,96.6,0.49,4.13,
2025-08-11 12:00:09,69698,90.8,0.42,4.04,
2025-08-11 15:00:22,69790,101.0,0.41,3.95,
2025-08-11 18:00:34,69884,114.0,0.38,3.66,
2025-08-11 21:00:11,69974,104.0,0.4,4.2,
2025-08-12 00:00:58,70068,97.4,0.46,4.65,
2025-08-12 03:00:11,70156,92.9,0.38,5.04,
2025-08-12 06:00:24,70249,100.0,0.35,5.59,
2025-08-12 09:00:36,70331,98.9,0.32,5.2,
2025-08-12 12:00:49,70420,98.1,0.32,5.1,
2025-08-12 15:00:03,70501,98.0,0.35,5.09,
2025-08-12 18:00:16,70582,105.0,0.4,4.33,
2025-08-12 21:00:09,70691,89.9,0.41,4.51,
2025-08-13 00:00:44,70795,101.0,0.5,5.06,
2025-08-13 03:00:05,70872,93.3,0.54,4.56,
2025-08-13 06:00:16,70954,96.3,0.52,4.0,
2025-08-13 09:00:26,71037,88.1,0.52,3.93,
2025-08-13 12:00:13,71125,77.4,0.53,3.89,
2025-08-13 15:00:58,71216,94.6,0.46,4.0,
2025-08-13 18:00:12,71297,102.0,0.44,3.67,
2025-08-13 21:00:26,71389,101.0,0.43,3.71,
2025-08-14 00:00:40,71480,108.0,0.51,3.31,
2025-08-14 03:00:53,71576,100.0,0.59,3.48,
2025-08-14 06:00:04,71661,106.0,0.51,3.71,
2025-08-14 09:00:21,71753,114.0,0.52,3.95,
2025-08-14 12:00:35,71842,106.0,0.51,3.9,
2025-08-14 15:00:36,71936,104.0,0.53,4.23,
2025-08-14 18:00:03,72030,99.7,0.54,4.49,
2025-08-14 21:00:19,72112,94.8,0.56,4.74,
2025-08-15 00:00:34,72212,98.1,0.57,4.96,
2025-08-15 03:00:49,72307,119.0,0.61,4.76,
2025-08-15 06:00:04,72398,123.0,0.72,4.33,
2025-08-15 09:00:18,72486,109.0,0.6,4.86,
2025-08-15 12:00:08,72579,110.0,0.59,5.87,
2025-08-15 15:00:46,72667,111.0,0.58,5.27,
2025-08-15 18:00:01,72736,112.0,0.63,4.38,
2025-08-15 21:00:15,72837,108.0,0.78,3.65,
2025-08-16 00:00:30,72925,117.0,0.68,3.71,
2025-08-16 03:00:46,73000,120.0,0.6,3.28,
2025-08-16 06:00:01,73084,110.0,0.6,3.7,
2025-08-16 09:00:15,73175,94.9,0.57,4.06,
2025-08-16 12:00:30,73260,102.0,0.49,4.03,
2025-08-16 15:00:46,73356,104.0,0.46,5.0,
2025-08-16 18:00:00,73435,93.6,0.45,4.61,
2025-08-16 21:00:15,73521,92.6,0.56,3.77,
2025-08-17 00:00:18,73622,105.0,0.52,4.3,
2025-08-17 03:00:45,73709,106.0,0.5,3.9,
2025-08-17 06:01:00,73795,116.0,0.44,4.66,
2025-08-17 09:00:01,73904,120.0,0.53,4.61,
2025-08-17 12:00:28,73985,107.0,0.52,4.79,
2025-08-17 15:00:43,74050,104.0,0.47,4.15,
2025-08-17 18:00:58,74146,88.6,0.48,4.23,
2025-08-17 21:00:13,74234,81.0,0.51,4.02,
2025-08-18 00:00:26,74329,92.7,0.59,3.57,
2025-08-18 03:00:28,74421,105.0,0.54,4.01,
2025-08-18 06:00:00,74516,97.9,0.59,4.19,
2025-08-18 09:00:16,74607,102.0,0.6,4.34,
2025-08-18 12:00:31,74697,124.0,0.55,3.86,
2025-08-18 15:00:46,74765,114.0,0.52,3.45,
2025-08-18 18:00:03,74841,108.0,0.4,3.27,
2025-08-18 21:00:18,74929,109.0,0.41,2.88,
2025-08-19 00:00:35,75004,102.0,0.42,2.42,
2025-08-19 03:00:49,75097,96.4,0.44,2.41,
2025-08-19 06:00:04,75178,99.9,0.44,2.17,
2025-08-19 09:00:19,75263,102.0,0.4,2.1,
2025-08-19 12:00:36,75375,110.0,0.44,2.33,
2025-08-19 15:00:14,75473,108.0,0.43,3.26,
2025-08-19 18:00:08,75566,117.0,0.45,3.56,
2025-08-19 21:00:25,75664,115.0,0.47,4.38,
2025-08-20 00:00:43,75758,103.0,0.54,4.63,
2025-08-20 03:01:00,75844,116.0,0.57,3.9,
2025-08-20 06:00:17,75937,118.0,0.48,3.91,
2025-08-20 09:00:21,76024,112.0,0.52,3.7,
2025-08-20 12:00:02,76103,88.5,0.49,4.13,
2025-08-20 15:00:11,76196,97.4,0.47,3.98,
2025-08-20 18:00:28,76289,113.0,0.49,4.14,
2025-08-21 06:00:40,76649,143.0,0.51,3.27,
2025-08-21 09:00:58,76735,127.0,0.59,3.21,
2025-08-21 12:00:14,76808,108.0,0.53,3.0,
2025-08-21 15:00:31,76909,121.0,0.52,3.48,
2025-08-21 18:00:51,76974,120.0,0.46,3.02,
2025-08-21 21:00:09,77064,109.0,0.44,2.78,
2025-08-22 00:00:28,77150,97.8,0.52,2.57,
2025-08-22 03:00:20,77228,112.0,0.44,2.59,
2025-08-22 06:00:05,77333,101.0,0.39,3.34,
2025-08-22 09:00:23,77424,91.5,0.41,4.11,
2025-08-22 12:00:41,77532,110.0,0.42,5.37,
2025-08-22 15:00:59,77616,93.3,0.55,4.52,
2025-08-22 18:00:17,77701,93.6,0.55,4.01,
2025-08-22 21:00:35,77782,98.6,0.5,3.81,
2025-08-23 00:00:32,77865,99.6,0.52,3.38,
2025-08-23 03:00:12,77975,100.0,0.61,3.51,
2025-08-23 06:00:31,78058,93.7,0.65,3.37,
2025-08-23 09:00:50,78146,101.0,0.67,3.04,
2025-08-23 12:00:08,78227,108.0,0.55,3.27,
2025-08-23 15:00:26,78317,104.0,0.47,3.82,
2025-08-23 18:00:45,78393,106.0,0.42,3.14,
2025-08-23 21:00:03,78490,119.0,0.36,3.73,
2025-08-24 00:00:21,78583,112.0,0.34,3.95,
2025-08-24 03:00:40,78674,114.0,0.38,4.42,
2025-08-24 06:01:00,78769,126.0,0.37,4.05,
2025-08-24 09:00:18,78855,135.0,0.38,3.82,
2025-08-24 12:00:06,78940,126.0,0.37,4.19,
2025-08-24 15:00:54,79032,128.0,0.37,3.86,
2025-08-24 18:00:12,79127,127.0,0.41,3.75,
2025-08-24 21:00:30,79214,124.0,0.47,3.69,
2025-08-25 00:00:52,79293,103.0,0.45,3.28,
2025-08-25 03:00:11,79390,99.2,0.56,3.8,
2025-08-25 06:00:30,79475,107.0,0.58,3.07,
2025-08-25 09:00:48,79564,104.0,0.51,3.43,
2025-08-25 12:00:07,79652,102.0,0.5,3.38,
2025-08-25 15:00:25,79733,97.3,0.51,3.33,
2025-08-25 18:00:44,79823,108.0,0.46,3.07,
2025-08-25 21:00:02,79938,113.0,0.51,4.42,
2025-08-26 00:00:21,80009,104.0,0.41,4.62,
2025-08-26 03:00:41,80101,101.0,0.4,4.54,
2025-08-26 06:00:01,80187,122.0,0.41,4.18,
2025-08-26 09:00:20,80292,109.0,0.49,4.36,
2025-08-26 12:00:39,80372,101.0,0.48,4.51,
2025-08-26 15:00:58,80464,100.0,0.53,4.19,
2025-08-26 18:00:16,80544,93.8,0.6,4.26,
2025-08-26 21:00:34,80641,99.3,0.49,3.71,
2025-08-27 00:00:54,80724,114.0,0.52,3.42,
2025-08-27 03:00:13,80806,114.0,0.52,2.97,
2025-08-27 06:00:32,80895,114.0,0.52,2.92,
2025-08-27 09:00:31,80978,99.1,0.5,3.08,
2025-08-27 12:00:09,81076,105.0,0.47,3.07,
2025-08-27 15:00:28,81164,101.0,0.5,3.31,
2025-08-27 18:00:53,81245,97.2,0.47,3.23,
2025-08-27 21:00:13,81337,98.4,0.49,3.4,
2025-08-28 00:00:32,81425,101.0,0.49,3.01,
2025-08-28 03:00:52,81532,116.0,0.53,3.13,
2025-08-28 06:00:12,81625,119.0,0.57,3.37,
2025-08-28 09:00:31,81697,112.0,0.52,3.53,
2025-08-28 12:00:50,81776,93.7,0.44,3.16,
2025-08-28 15:00:10,81875,94.7,0.47,3.63,
2025-08-28 18:00:28,81986,110.0,0.57,4.15,
2025-08-28 21:00:13,82082,102.0,0.69,4.81,
2025-08-28 21:00:14,82082,102.0,0.69,4.81,
2025-08-29 00:00:09,82165,111.0,0.6,4.66,
2025-08-29 03:00:32,82254,120.0,0.59,4.23,
2025-08-29 06:00:35,82345,137.0,0.6,3.82,
2025-08-29 09:00:10,82425,111.0,0.57,4.15,
2025-08-29 12:00:31,82516,93.1,0.54,5.15,
2025-08-29 18:00:44,82663,86.4,0.51,3.74,
2025-08-29 21:00:10,82758,92.0,0.52,3.22,
2025-08-30 00:00:23,82855,94.0,0.58,3.47,
2025-08-30 03:00:36,82944,106.0,0.57,3.44,
2025-08-30 06:00:50,83027,97.9,0.54,3.34,
2025-08-30 09:00:02,83108,103.0,0.46,3.14,
2025-08-30 12:00:16,83208,100.0,0.5,2.96,
2025-08-30 15:00:28,83308,122.0,0.55,4.08,
2025-08-30 18:00:41,83391,102.0,0.47,4.27,
2025-08-30 21:00:55,83468,99.6,0.48,3.84,
2025-08-31 00:00:08,83574,97.0,0.5,4.22,
2025-08-31 03:00:22,83668,107.0,0.46,5.13,
2025-08-31 06:00:36,83749,90.7,0.41,4.59,
2025-08-31 09:00:50,83844,105.0,0.54,4.62,
2025-08-31 12:00:03,83922,105.0,0.47,4.21,
2025-08-31 15:00:16,84004,96.2,0.44,3.96,
2025-08-31 18:00:29,84106,102.0,0.46,4.02,
2025-08-31 21:00:25,84190,129.0,0.4,4.01,
2025-09-01 00:00:57,84274,109.0,0.4,3.62,
2025-09-01 03:00:12,84379,127.0,0.46,3.82,
2025-09-01 06:00:26,84450,114.0,0.44,3.33,
2025-09-01 09:00:40,84540,110.0,0.41,3.62,
2025-09-01 12:00:53,84621,95.2,0.44,3.16,
2025-09-01 15:00:07,84719,94.8,0.43,3.72,
2025-09-01 18:00:21,84817,111.0,0.41,4.44,
2025-09-01 21:00:13,84908,111.0,0.42,4.15,
2025-09-02 00:00:49,84997,120.0,0.4,4.53,
2025-09-02 03:00:03,85073,124.0,0.35,4.09,
2025-09-02 06:00:16,85165,118.0,0.41,3.59,
2025-09-02 09:00:30,85279,110.0,0.52,4.28,
2025-09-02 12:00:44,85358,102.0,0.49,4.66,
2025-09-02 15:00:48,85441,106.0,0.46,4.16,
2025-09-02 18:00:11,85511,114.0,0.42,3.81,
2025-09-02 21:00:05,85599,103.0,0.4,3.86,
2025-09-03 00:00:41,85698,103.0,0.4,3.72,
2025-09-03 03:00:57,85800,108.0,0.45,3.62,
2025-09-03 06:00:12,85888,116.0,0.48,4.34,
2025-09-03 09:00:26,85982,111.0,0.51,3.96,
2025-09-03 12:00:40,86066,119.0,0.45,4.05,
2025-09-03 15:00:55,86129,121.0,0.43,3.6,
2025-09-03 18:00:08,86206,101.0,0.33,3.24,
2025-09-03 21:00:22,86303,114.0,0.38,3.09,
2025-09-04 00:00:37,86397,110.0,0.38,3.36,
2025-09-04 03:00:22,86493,123.0,0.42,3.63,
2025-09-04 06:00:08,86589,108.0,0.43,4.56,
2025-09-04 09:00:22,86680,108.0,0.4,4.65,
2025-09-04 12:00:36,86758,103.0,0.45,4.09,
2025-09-04 15:00:27,86837,91.8,0.4,4.13,
2025-09-04 18:00:06,86923,94.4,0.34,3.91,
2025-09-04 21:00:22,87025,88.7,0.36,4.95,
2025-09-05 00:00:37,87107,90.6,0.35,4.43,
2025-09-05 03:00:53,87196,102.0,0.38,3.72,
2025-09-05 06:00:09,87291,109.0,0.38,3.84,
2025-09-05 09:00:24,87390,103.0,0.41,4.17,
2025-09-05 12:00:17,87472,108.0,0.39,3.99,
2025-09-05 15:00:53,87559,100.0,0.48,3.4,
2025-09-05 18:00:07,87652,122.0,0.39,3.61,
2025-09-05 21:00:21,87727,112.0,0.38,4.07,
2025-09-06 03:00:49,87904,100.0,0.34,3.36,
2025-09-06 06:00:04,87986,92.4,0.37,3.05,
2025-09-06 09:00:18,88074,96.9,0.4,2.87,
2025-09-06 12:00:32,88160,84.0,0.35,3.21,
2025-09-06 15:00:47,88246,74.8,0.34,3.94,
2025-09-06 18:00:01,88352,87.1,0.33,4.27,
2025-09-06 21:00:15,88432,84.4,0.31,4.89,
2025-09-07 00:00:30,88528,69.4,0.34,5.12,
2025-09-07 03:00:45,88622,80.0,0.4,4.33,
2025-09-07 06:01:00,88712,81.4,0.52,3.95,
2025-09-07 09:00:14,88801,88.7,0.41,4.21,
2025-09-07 12:00:17,88892,86.6,0.4,4.73,
2025-09-07 15:00:42,88979,77.7,0.4,4.7,
2025-09-07 18:00:57,89065,78.6,0.41,5.2,
2025-09-07 21:00:10,89145,73.6,0.38,4.5,
2025-09-08 00:00:25,89246,93.8,0.38,4.76,
2025-09-08 03:00:40,89316,88.8,0.37,3.88,
2025-09-08 06:00:55,89423,88.0,0.44,4.11,
2025-09-08 09:00:10,89515,93.0,0.47,3.85,
2025-09-08 12:00:25,89584,81.4,0.46,3.73,
2025-09-08 15:00:39,89664,68.7,0.37,3.95,
2025-09-08 18:00:54,89766,77.6,0.35,4.38,
2025-09-08 21:00:08,89855,80.3,0.43,4.58,
2025-09-09 00:00:02,89948,77.0,0.38,4.51,
2025-09-09 03:00:37,90033,83.5,0.35,4.46,
2025-09-09 06:00:51,90108,83.4,0.32,3.91,
2025-09-09 09:00:06,90205,84.2,0.31,4.26,
2025-09-09 12:00:22,90287,74.5,0.31,4.08,
2025-09-09 15:00:13,90370,72.3,0.35,4.03,
2025-09-09 18:00:34,90460,74.3,0.39,3.51,
2025-09-09 21:00:04,90559,75.7,0.39,3.64,
